rank,model_id,model_name,avg_agentic_coding_score,benchmark_coverage,swe_bench_verified_pct,livecodebench_pct,swerebench_pct,arena_elo_coding,arena_elo
812,deepgram-base-conversationalai,deepgram-base-conversationalai,,0,,,,,
813,deepgram-base-finance,deepgram-base-finance,,0,,,,,
814,deepgram-base-general,deepgram-base-general,,0,,,,,
815,deepgram-base-meeting,deepgram-base-meeting,,0,,,,,
816,deepgram-base-phonecall,deepgram-base-phonecall,,0,,,,,
817,deepgram-base-video,deepgram-base-video,,0,,,,,
818,deepgram-base-voicemail,deepgram-base-voicemail,,0,,,,,
819,deepgram-enhanced,deepgram-enhanced,,0,,,,,
820,deepgram-enhanced-finance,deepgram-enhanced-finance,,0,,,,,
821,deepgram-enhanced-general,deepgram-enhanced-general,,0,,,,,
822,deepgram-enhanced-meeting,deepgram-enhanced-meeting,,0,,,,,
823,deepgram-enhanced-phonecall,deepgram-enhanced-phonecall,,0,,,,,
824,deepgram-nova,deepgram-nova,,0,,,,,
825,deepgram-nova-2,deepgram-nova-2,,0,,,,,
826,deepgram-nova-2-atc,deepgram-nova-2-atc,,0,,,,,
827,deepgram-nova-2-automotive,deepgram-nova-2-automotive,,0,,,,,
828,deepgram-nova-2-conversationalai,deepgram-nova-2-conversationalai,,0,,,,,
829,deepgram-nova-2-drivethru,deepgram-nova-2-drivethru,,0,,,,,
830,deepgram-nova-2-finance,deepgram-nova-2-finance,,0,,,,,
831,deepgram-nova-2-general,deepgram-nova-2-general,,0,,,,,
832,deepgram-nova-2-meeting,deepgram-nova-2-meeting,,0,,,,,
833,deepgram-nova-2-phonecall,deepgram-nova-2-phonecall,,0,,,,,
834,deepgram-nova-2-video,deepgram-nova-2-video,,0,,,,,
835,deepgram-nova-2-voicemail,deepgram-nova-2-voicemail,,0,,,,,
836,deepgram-nova-3,deepgram-nova-3,,0,,,,,
837,deepgram-nova-3-general,deepgram-nova-3-general,,0,,,,,
838,deepgram-nova-3-medical,deepgram-nova-3-medical,,0,,,,,
839,deepgram-nova-general,deepgram-nova-general,,0,,,,,
840,deepgram-nova-phonecall,deepgram-nova-phonecall,,0,,,,,
841,deepgram-whisper,deepgram-whisper,,0,,,,,
842,deepgram-whisper-base,deepgram-whisper-base,,0,,,,,
843,deepgram-whisper-large,deepgram-whisper-large,,0,,,,,
844,deepgram-whisper-medium,deepgram-whisper-medium,,0,,,,,
845,deepgram-whisper-small,deepgram-whisper-small,,0,,,,,
846,deepgram-whisper-tiny,deepgram-whisper-tiny,,0,,,,,
847,deepseek-ai-deepseek-coder-6-7b-instruct,Deepseek Coder 6.7b Instruct,,1,,,,1259.0,1196.0
848,deepseek-ai-deepseek-ocr,deepseek-ai/DeepSeek-OCR,,0,,,,,
849,deepseek-ai-deepseek-ocr-models-deepseek-ocr,DeepSeek OCR,,0,,,,,
850,deepseek-ai-deepseek-r1,Deepseek R1,,0,,,,,
851,deepseek-ai-deepseek-r1-0528,DeepSeek R1,,0,,,,,
852,deepseek-ai-deepseek-r1-0528-fast,DeepSeek R1 0528 Fast,,0,,,,,
853,deepseek-ai-deepseek-r1-0528-tee,DeepSeek R1 0528 TEE,,0,,,,,
854,deepseek-ai-deepseek-r1-0528-turbo,deepseek-ai-deepseek-r1-0528-turbo,,0,,,,,
855,deepseek-ai-deepseek-r1-distill-llama-70b,DeepSeek R1 Distill Llama 70B,,0,,,,,
856,deepseek-ai-deepseek-r1-distill-qwen-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,,0,,,,,
857,deepseek-ai-deepseek-r1-distill-qwen-32b,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,,0,,,,,
858,deepseek-ai-deepseek-r1-tee,DeepSeek R1 TEE,,0,,,,,
859,deepseek-ai-deepseek-r1-turbo,deepseek-ai-deepseek-r1-turbo,,0,,,,,
860,deepseek-ai-deepseek-v3,deepseek-ai/DeepSeek-V3,,0,,,,,
861,deepseek-ai-deepseek-v3-0324,DeepSeek-V3-0324,,0,,,,,
862,deepseek-ai-deepseek-v3-0324-fast,DeepSeek-V3-0324 (Fast),,0,,,,,
863,deepseek-ai-deepseek-v3-0324-tee,DeepSeek V3 0324 TEE,,0,,,,,
864,deepseek-ai-deepseek-v3-1,DeepSeek V3.1,,0,,,,,
865,deepseek-ai-deepseek-v3-1-maas,DeepSeek V3.1,,0,,,,,
866,deepseek-ai-deepseek-v3-1-tee,DeepSeek V3.1 TEE,,0,,,,,
867,deepseek-ai-deepseek-v3-1-terminus,DeepSeek V3.1 Terminus,,0,,,,,
868,deepseek-ai-deepseek-v3-1-terminus-tee,DeepSeek V3.1 Terminus TEE,,0,,,,,
869,deepseek-ai-deepseek-v3-2,DeepSeek V3.2,,0,,,,,
870,deepseek-ai-deepseek-v3-2-exp,deepseek-ai/DeepSeek-V3.2-Exp,,0,,,,,
871,deepseek-ai-deepseek-v3-2-speciale-tee,DeepSeek V3.2 Speciale TEE,,0,,,,,
872,deepseek-ai-deepseek-v3-2-tee,DeepSeek V3.2 TEE,,0,,,,,
873,deepseek-ai-deepseek-vl2,deepseek-ai/deepseek-vl2,,0,,,,,
874,deepseek-chat,DeepSeek Chat,,2,,,,1106.0,1111.0
875,deepseek-chat-cheaper,DeepSeek V3/Chat Cheaper,,0,,,,,
876,deepseek-deepseek-chat,DeepSeek: DeepSeek V3,,0,,,,,
877,deepseek-deepseek-chat-v3-0324,DeepSeek: DeepSeek V3 0324,,0,,,,,
878,deepseek-deepseek-chat-v3-1,DeepSeek: DeepSeek V3.1,,0,,,,,
879,deepseek-deepseek-coder,deepseek-deepseek-coder,,0,,,,,
880,deepseek-deepseek-math-v2,Deepseek/Deepseek-Math-V2,,0,,,,,
881,deepseek-deepseek-ocr,DeepSeek-OCR,,0,,,,,
882,deepseek-deepseek-ocr-2,deepseek/deepseek-ocr-2,,0,,,,,
883,deepseek-deepseek-prover-v2-671b,Deepseek Prover V2 671B,,1,,,,1286.0,1237.0
884,deepseek-deepseek-r1,DeepSeek: R1,,0,,,,,
885,deepseek-deepseek-r1-0528,DeepSeek: R1 0528,,0,,,,,
886,deepseek-deepseek-r1-0528-qwen3-8b,DeepSeek R1 0528 Qwen3 8B,,0,,,,,
887,deepseek-deepseek-r1-distill-llama-70b,DeepSeek: R1 Distill Llama 70B,,0,,,,,
888,deepseek-deepseek-r1-distill-qwen-14b,DeepSeek R1 Distill Qwen 14B,,0,,,,,
889,deepseek-deepseek-r1-distill-qwen-32b,DeepSeek: R1 Distill Qwen 32B,,0,,,,,
890,deepseek-deepseek-r1-turbo,DeepSeek R1 (Turbo),,0,,,,,
891,deepseek-deepseek-reasoner,deepseek-deepseek-reasoner,,0,,,,,
892,deepseek-deepseek-v3,DeepSeek V3 0324,,0,,,,,
893,deepseek-deepseek-v3-0324,DeepSeek V3 0324,,0,,,,,
894,deepseek-deepseek-v3-1,DeepSeek V3.1,,0,,,,,
895,deepseek-deepseek-v3-1-terminus,DeepSeek: DeepSeek V3.1 Terminus,,0,,,,,
896,deepseek-deepseek-v3-2,DeepSeek: DeepSeek V3.2,,0,,,,,
897,deepseek-deepseek-v3-2-251201,Deepseek/DeepSeek-V3.2,,0,,,,,
898,deepseek-deepseek-v3-2-exp,DeepSeek: DeepSeek V3.2 Exp,,0,,,,,
899,deepseek-deepseek-v3-2-exp-thinking,DeepSeek/DeepSeek-V3.2-Exp-Thinking,,0,,,,,
900,deepseek-deepseek-v3-2-speciale,DeepSeek: DeepSeek V3.2 Speciale,,0,,,,,
901,deepseek-deepseek-v3-2-thinking,DeepSeek V3.2 Thinking,,0,,,,,
902,deepseek-deepseek-v3-base,DeepSeek V3 Base (free),,0,,,,,
903,deepseek-deepseek-v3-turbo,DeepSeek V3 (Turbo),,0,,,,,
904,deepseek-math-v2,DeepSeek Math V2,,0,,,,,
905,deepseek-r1-distill-llama-8b,DeepSeek R1 Distill Llama 8B,,0,,,,,
906,deepseek-r1-distill-qwen-1-5b,DeepSeek R1 Distill Qwen 1.5B,,0,,,,,
907,deepseek-r1-distill-qwen-14b,DeepSeek R1 Distill Qwen 14B,,0,,,,,
908,deepseek-r1-distill-qwen-7b,DeepSeek R1 Distill Qwen 7B,,0,,,,,
909,deepseek-r1-sambanova,DeepSeek R1 Fast,,1,,,,,
910,deepseek-r1-v1,DeepSeek-R1,,1,,,,,62.3
911,deepseek-reasoner-cheaper,Deepseek R1 Cheaper,,0,,,,,
912,deepseek-tng-r1t2-chimera,DeepSeek TNG R1T2 Chimera,,0,,,,,
913,deepseek-v3,DeepSeek-V3,,2,,,,1337.0,1334.0
914,deepseek-v3-2-251201,deepseek-v3-2-251201,,1,,,,1316.0,1296.0
915,deepseek-v3-2-fast,DeepSeek-V3.2-Fast,,0,,,,,
916,deepseek-v3-2-think,DeepSeek-V3.2-Think,,0,,,,,
917,deepseek-v3-2-v1,DeepSeek-V3.2,,0,,,,,
918,deepseek-v3-v1,DeepSeek-V3.1,,0,,,,,
919,devstral-2-123b-instruct-2512-tee,Devstral 2 123B Instruct 2512 TEE,,0,,,,,
920,devstral-medium-2507,Devstral Medium,,0,,,,,
921,devstral-medium-latest,Devstral 2 (latest),,0,,,,,
922,devstral-small-2,devstral-small-2:24b,,0,,,,,
923,devstral-small-2505,Devstral Small 2505,,0,,,,,
924,devstral-small-2507,Devstral Small,,0,,,,,
925,devstral-small-2512,Devstral Small 2 2512,,0,,,,,
926,dmind-dmind-1,DMind-1,,0,,,,,
927,dmind-dmind-1-mini,DMind-1-Mini,,0,,,,,
928,doctor-shotgun-2-ms3-2-24b-magnum-diamond,MS3.2 24B Magnum Diamond,,0,,,,,
929,dolphin,dolphin,,0,,,,,
930,doubao-1-5-pro-256k,Doubao 1.5 Pro 256k,,0,,,,,
931,doubao-1-5-pro-32k,Doubao 1.5 Pro 32k,,0,,,,,
932,doubao-1-5-thinking-pro,Doubao 1.5 Thinking Pro,,0,,,,,
933,doubao-1-5-thinking-pro-250415,Doubao 1.5 Thinking Pro,,0,,,,,
934,doubao-1-5-thinking-pro-vision-250415,Doubao 1.5 Thinking Pro Vision,,0,,,,,
935,doubao-1-5-thinking-vision-pro-250428,Doubao 1.5 Thinking Vision Pro,,0,,,,,
936,doubao-1-5-vision-pro,Doubao 1.5 Vision Pro,,0,,,,,
937,doubao-1-5-vision-pro-32k,Doubao 1.5 Vision Pro 32k,,0,,,,,
938,doubao-embedding,doubao-embedding,,0,,,,,
939,doubao-embedding-large,doubao-embedding-large,,0,,,,,
940,doubao-embedding-large-text-240915,doubao-embedding-large-text-240915,,0,,,,,
941,doubao-embedding-large-text-250515,doubao-embedding-large-text-250515,,0,,,,,
942,doubao-embedding-text-240715,doubao-embedding-text-240715,,0,,,,,
943,doubao-seed-1-6,Doubao-Seed 1.6,,0,,,,,
944,doubao-seed-1-6-250615,Doubao Seed 1.6,,0,,,,,
945,doubao-seed-1-6-flash,Doubao-Seed 1.6 Flash,,0,,,,,
946,doubao-seed-1-6-flash-250615,Doubao Seed 1.6 Flash,,0,,,,,
947,doubao-seed-1-6-thinking,Doubao-Seed 1.6 Thinking,,0,,,,,
948,doubao-seed-1-6-thinking-250615,Doubao Seed 1.6 Thinking,,0,,,,,
949,doubao-seed-1-6-thinking-250715,doubao-seed-1-6-thinking-250715,,0,,,,,
950,doubao-seed-1-6-vision-250815,doubao-seed-1-6-vision-250815,,0,,,,,
951,doubao-seed-1-8-251215,doubao-seed-1-8-251215,,0,,,,,
952,doubao-seed-2-0-code,Doubao Seed 2.0 Code,,0,,,,,
953,doubao-seed-2-0-code-preview-260215,Doubao Seed 2.0 Code Preview,,0,,,,,
954,doubao-seed-2-0-lite,Doubao Seed 2.0 Lite,,0,,,,,
955,doubao-seed-2-0-lite-260215,Doubao Seed 2.0 Lite,,0,,,,,
956,doubao-seed-2-0-mini,Doubao Seed 2.0 Mini,,0,,,,,
957,doubao-seed-2-0-mini-260215,Doubao Seed 2.0 Mini,,0,,,,,
958,doubao-seed-2-0-pro,Doubao Seed 2.0 Pro,,0,,,,,
959,doubao-seed-2-0-pro-260215,Doubao Seed 2.0 Pro,,0,,,,,
960,doubao-seed-code-preview-251028,doubao-seed-code-preview-251028,,0,,,,,
961,doubao-seed-code-preview-latest,Doubao Seed Code Preview,,0,,,,,
962,duckduckgo-search,duckduckgo-search,,0,,,,,
963,duo-chat-gpt-5-1,Agentic Chat (GPT-5.1),,0,,,,,
964,duo-chat-gpt-5-2,Agentic Chat (GPT-5.2),,0,,,,,
965,duo-chat-gpt-5-2-codex,Agentic Chat (GPT-5.2 Codex),,0,,,,,
966,duo-chat-gpt-5-codex,Agentic Chat (GPT-5 Codex),,0,,,,,
967,duo-chat-gpt-5-mini,Agentic Chat (GPT-5 Mini),,0,,,,,
968,duo-chat-haiku-4-5,Agentic Chat (Claude Haiku 4.5),,0,,,,,
969,duo-chat-opus-4-5,Agentic Chat (Claude Opus 4.5),,0,,,,,
970,duo-chat-opus-4-6,Agentic Chat (Claude Opus 4.6),,0,,,,,
971,duo-chat-sonnet-4-5,Agentic Chat (Claude Sonnet 4.5),,0,,,,,
972,duo-chat-sonnet-4-6,Agentic Chat (Claude Sonnet 4.6),,0,,,,,
973,eleutherai-llemma-7b,EleutherAI: Llemma 7b,,0,,,,,
974,elevenlabs-eleven-multilingual-v2,elevenlabs-eleven-multilingual-v2,,0,,,,,
975,elevenlabs-eleven-v3,elevenlabs-eleven-v3,,0,,,,,
976,elevenlabs-elevenlabs-music,ElevenLabs-Music,,0,,,,,
977,elevenlabs-elevenlabs-v2-5-turbo,ElevenLabs-v2.5-Turbo,,0,,,,,
978,elevenlabs-elevenlabs-v3,ElevenLabs-v3,,0,,,,,
979,elevenlabs-scribe-v1,elevenlabs-scribe-v1,,0,,,,,
980,elevenlabs-scribe-v1-experimental,elevenlabs-scribe-v1-experimental,,0,,,,,
981,embed-english-light-v2-0,embed-english-light-v2-0,,0,,,,,
982,embed-english-light-v3-0,embed-english-light-v3-0,,0,,,,,
983,embed-english-v2-0,embed-english-v2-0,,0,,,,,
984,embed-english-v3-0,embed-english-v3-0,,0,,,,,
985,embed-multilingual-light-v3-0,embed-multilingual-light-v3-0,,0,,,,,
986,embed-multilingual-v2-0,embed-multilingual-v2-0,,0,,,,,
987,embed-multilingual-v3-0,embed-multilingual-v3-0,,0,,,,,
988,embed-v4-0,Embed v4.0,,0,,,,,
989,envoid-2-llama-3-05-nemotron-tenyxchat-storybreaker-70b,Nemotron Tenyxchat Storybreaker 70b,,0,,,,,
990,envoid-2-llama-3-05-nt-storybreaker-ministral-70b,Llama 3.05 Storybreaker Ministral 70b,,0,,,,,
991,ernie-4-5-21b-a3b-thinking,Baidu Ernie 4.5 21B A3B Thinking,,0,,,,,
992,ernie-4-5-8k-preview,Ernie 4.5 8k Preview,,0,,,,,
993,ernie-4-5-turbo-128k,Ernie 4.5 Turbo 128k,,0,,,,,
994,ernie-4-5-turbo-vl-32k,Ernie 4.5 Turbo VL 32k,,0,,,,,
995,ernie-5-0-thinking-preview,Ernie 5.0 Thinking Preview,,0,,,,,
996,ernie-x1-1-preview,ERNIE X1.1,,0,,,,,
997,ernie-x1-32k,Ernie X1 32k,,0,,,,,
998,ernie-x1-32k-preview,Ernie X1 32k,,0,,,,,
999,ernie-x1-turbo-32k,Ernie X1 Turbo 32k,,0,,,,,
1000,essentialai-rnj-1-instruct,EssentialAI: Rnj 1 Instruct,,0,,,,,
1001,eu-amazon-nova-2-lite-v1,eu-amazon-nova-2-lite-v1,,0,,,,,
1002,eu-amazon-nova-2-pro-preview-20251202-v1,eu-amazon-nova-2-pro-preview-20251202-v1,,0,,,,,
1003,eu-amazon-nova-lite-v1,eu-amazon-nova-lite-v1,,0,,,,,
1004,eu-amazon-nova-micro-v1,eu-amazon-nova-micro-v1,,0,,,,,
1005,eu-amazon-nova-pro-v1,eu-amazon-nova-pro-v1,,0,,,,,
1006,eu-anthropic-claude-3-5-haiku-20241022-v1,eu-anthropic-claude-3-5-haiku-20241022-v1,,0,,,,,
1007,eu-anthropic-claude-3-5-sonnet-20240620-v1,eu-anthropic-claude-3-5-sonnet-20240620-v1,,0,,,,,
1008,eu-anthropic-claude-3-5-sonnet-20241022-v2,eu-anthropic-claude-3-5-sonnet-20241022-v2,,0,,,,,
1009,eu-anthropic-claude-3-7-sonnet-20250219-v1,eu-anthropic-claude-3-7-sonnet-20250219-v1,,0,,,,,
1010,eu-anthropic-claude-3-haiku-20240307-v1,eu-anthropic-claude-3-haiku-20240307-v1,,0,,,,,
1011,eu-anthropic-claude-3-opus-20240229-v1,eu-anthropic-claude-3-opus-20240229-v1,,0,,,,,
1012,eu-anthropic-claude-3-sonnet-20240229-v1,eu-anthropic-claude-3-sonnet-20240229-v1,,0,,,,,
1013,eu-anthropic-claude-haiku-4-5-20251001-v1,Claude Haiku 4.5 (EU),,0,,,,,
1014,eu-anthropic-claude-opus-4-1-20250805-v1,eu-anthropic-claude-opus-4-1-20250805-v1,,0,,,,,
1015,eu-anthropic-claude-opus-4-20250514-v1,eu-anthropic-claude-opus-4-20250514-v1,,0,,,,,
1016,eu-anthropic-claude-opus-4-5-20251101-v1,Claude Opus 4.5 (EU),,0,,,,,
1017,eu-anthropic-claude-opus-4-6-v1,Claude Opus 4.6 (EU),,0,,,,,
1018,eu-anthropic-claude-sonnet-4-20250514-v1,Claude Sonnet 4 (EU),,0,,,,,
1019,eu-anthropic-claude-sonnet-4-5-20250929-v1,Claude Sonnet 4.5 (EU),,0,,,,,
1020,eu-anthropic-claude-sonnet-4-6,Claude Sonnet 4.6 (EU),,0,,,,,
1021,eu-central-1-1-month-commitment-anthropic-claude-instant-v1,eu-central-1-1-month-commitment-anthropic-claude-instant-v1,,0,,,,,
1022,eu-central-1-1-month-commitment-anthropic-claude-v1,eu-central-1-1-month-commitment-anthropic-claude-v1,,0,,,,,
1023,eu-central-1-1-month-commitment-anthropic-claude-v2,eu-central-1-1-month-commitment-anthropic-claude-v2,,0,,,,,
1024,eu-central-1-6-month-commitment-anthropic-claude-instant-v1,eu-central-1-6-month-commitment-anthropic-claude-instant-v1,,0,,,,,
1025,eu-central-1-6-month-commitment-anthropic-claude-v1,eu-central-1-6-month-commitment-anthropic-claude-v1,,0,,,,,
1026,eu-central-1-6-month-commitment-anthropic-claude-v2,eu-central-1-6-month-commitment-anthropic-claude-v2,,0,,,,,
1027,eu-central-1-anthropic-claude-instant-v1,eu-central-1-anthropic-claude-instant-v1,,0,,,,,
1028,eu-central-1-anthropic-claude-v1,eu-central-1-anthropic-claude-v1,,0,,,,,
1029,eu-central-1-anthropic-claude-v2,eu-central-1-anthropic-claude-v2,,0,,,,,
1030,eu-central-1-minimax-minimax-m2-1,eu-central-1-minimax-minimax-m2-1,,0,,,,,
1031,eu-central-1-qwen-qwen3-coder-next,eu-central-1-qwen-qwen3-coder-next,,0,,,,,
1032,eu-deepseek-v3-2,eu-deepseek-v3-2,,0,,,,,
1033,eu-gpt-4o-2024-08-06,eu-gpt-4o-2024-08-06,,0,,,,,
1034,eu-gpt-4o-2024-11-20,eu-gpt-4o-2024-11-20,,0,,,,,
1035,eu-gpt-4o-mini-2024-07-18,eu-gpt-4o-mini-2024-07-18,,0,,,,,
1036,eu-gpt-4o-mini-realtime-preview-2024-12-17,eu-gpt-4o-mini-realtime-preview-2024-12-17,,0,,,,,
1037,eu-gpt-4o-realtime-preview-2024-10-01,eu-gpt-4o-realtime-preview-2024-10-01,,0,,,,,
1038,eu-gpt-4o-realtime-preview-2024-12-17,eu-gpt-4o-realtime-preview-2024-12-17,,0,,,,,
1039,eu-gpt-5-1,eu-gpt-5-1,,0,,,,,
1040,eu-gpt-5-1-chat,eu-gpt-5-1-chat,,0,,,,,
1041,eu-gpt-5-1-codex,eu-gpt-5-1-codex,,0,,,,,
1042,eu-gpt-5-1-codex-mini,eu-gpt-5-1-codex-mini,,0,,,,,
1043,eu-gpt-5-2025-08-07,eu-gpt-5-2025-08-07,,0,,,,,
1044,eu-gpt-5-mini-2025-08-07,eu-gpt-5-mini-2025-08-07,,0,,,,,
1045,eu-gpt-5-nano-2025-08-07,eu-gpt-5-nano-2025-08-07,,0,,,,,
1046,eu-meta-llama3-2-1b-instruct-v1,eu-meta-llama3-2-1b-instruct-v1,,0,,,,,
1047,eu-meta-llama3-2-3b-instruct-v1,eu-meta-llama3-2-3b-instruct-v1,,0,,,,,
1048,eu-mistral-pixtral-large-2502-v1,eu-mistral-pixtral-large-2502-v1,,0,,,,,
1049,eu-north-1-deepseek-v3-2,eu-north-1-deepseek-v3-2,,0,,,,,
1050,eu-north-1-minimax-minimax-m2-1,eu-north-1-minimax-minimax-m2-1,,0,,,,,
1051,eu-north-1-moonshotai-kimi-k2-5,eu-north-1-moonshotai-kimi-k2-5,,0,,,,,
1052,eu-o1-2024-12-17,eu-o1-2024-12-17,,0,,,,,
1053,eu-o1-mini-2024-09-12,eu-o1-mini-2024-09-12,,0,,,,,
1054,eu-o1-preview-2024-09-12,eu-o1-preview-2024-09-12,,0,,,,,
1055,eu-o3-mini-2025-01-31,eu-o3-mini-2025-01-31,,0,,,,,
1056,eu-south-1-minimax-minimax-m2-1,eu-south-1-minimax-minimax-m2-1,,0,,,,,
1057,eu-south-1-qwen-qwen3-coder-next,eu-south-1-qwen-qwen3-coder-next,,0,,,,,
1058,eu-twelvelabs-marengo-embed-2-7-v1,eu-twelvelabs-marengo-embed-2-7-v1,,0,,,,,
1059,eu-twelvelabs-pegasus-1-2-v1,eu-twelvelabs-pegasus-1-2-v1,,0,,,,,
1060,eu-west-1-meta-llama3-70b-instruct-v1,eu-west-1-meta-llama3-70b-instruct-v1,,0,,,,,
1061,eu-west-1-meta-llama3-8b-instruct-v1,eu-west-1-meta-llama3-8b-instruct-v1,,0,,,,,
1062,eu-west-1-minimax-minimax-m2-1,eu-west-1-minimax-minimax-m2-1,,0,,,,,
1063,eu-west-1-qwen-qwen3-coder-next,eu-west-1-qwen-qwen3-coder-next,,0,,,,,
1064,eu-west-2-meta-llama3-70b-instruct-v1,eu-west-2-meta-llama3-70b-instruct-v1,,0,,,,,
1065,eu-west-2-meta-llama3-8b-instruct-v1,eu-west-2-meta-llama3-8b-instruct-v1,,0,,,,,
1066,eu-west-2-minimax-minimax-m2-1,eu-west-2-minimax-minimax-m2-1,,0,,,,,
1067,eu-west-2-qwen-qwen3-coder-next,eu-west-2-qwen-qwen3-coder-next,,0,,,,,
1068,eu-west-3-mistral-mistral-7b-instruct-v0,eu-west-3-mistral-mistral-7b-instruct-v0,,0,,,,,
1069,eu-west-3-mistral-mistral-large-2402-v1,eu-west-3-mistral-mistral-large-2402-v1,,0,,,,,
1070,eu-west-3-mistral-mixtral-8x7b-instruct-v0,eu-west-3-mistral-mixtral-8x7b-instruct-v0,,0,,,,,
1071,eva-unit-01-2-eva-llama-3-33-70b-v0-0,EVA Llama 3.33 70B,,0,,,,,
1072,eva-unit-01-2-eva-llama-3-33-70b-v0-1,EVA-LLaMA-3.33-70B-v0.1,,0,,,,,
1073,eva-unit-01-2-eva-qwen2-5-32b-v0-2,EVA-Qwen2.5-32B-v0.2,,0,,,,,
1074,eva-unit-01-2-eva-qwen2-5-72b-v0-2,EVA-Qwen2.5-72B-v0.2,,0,,,,,
1075,exa-ai-search,exa-ai-search,,0,,,,,
1076,exa-answer,Exa (Answer),,0,,,,,
1077,exa-research,Exa (Research),,0,,,,,
1078,exa-research-pro,Exa (Research Pro),,0,,,,,
1079,failspy-meta-llama-3-70b-instruct-abliterated-v3-5,Llama 3 70B abliterated,,0,,,,,
1080,fal-ai-bria-text-to-image-3-2,fal-ai-bria-text-to-image-3-2,,0,,,,,
1081,fal-ai-fal-ai-bytedance-dreamina-v3-1-text-to-image,fal-ai-fal-ai-bytedance-dreamina-v3-1-text-to-image,,0,,,,,
1082,fal-ai-fal-ai-bytedance-seedream-v3-text-to-image,fal-ai-fal-ai-bytedance-seedream-v3-text-to-image,,0,,,,,
1083,fal-ai-fal-ai-flux-pro-v1-1,fal-ai-fal-ai-flux-pro-v1-1,,0,,,,,
1084,fal-ai-fal-ai-flux-pro-v1-1-ultra,fal-ai-fal-ai-flux-pro-v1-1-ultra,,0,,,,,
1085,fal-ai-fal-ai-flux-schnell,fal-ai-fal-ai-flux-schnell,,0,,,,,
1086,fal-ai-fal-ai-ideogram-v3,fal-ai-fal-ai-ideogram-v3,,0,,,,,
1087,fal-ai-fal-ai-imagen4-preview,fal-ai-fal-ai-imagen4-preview,,0,,,,,
1088,fal-ai-fal-ai-imagen4-preview-fast,fal-ai-fal-ai-imagen4-preview-fast,,0,,,,,
1089,fal-ai-fal-ai-imagen4-preview-ultra,fal-ai-fal-ai-imagen4-preview-ultra,,0,,,,,
1090,fal-ai-fal-ai-recraft-v3-text-to-image,fal-ai-fal-ai-recraft-v3-text-to-image,,0,,,,,
1091,fal-ai-fal-ai-stable-diffusion-v35-medium,fal-ai-fal-ai-stable-diffusion-v35-medium,,0,,,,,
1092,fastgpt,Web Answer,,0,,,,,
1093,featherless-ai-featherless-ai-qwerky-72b,featherless-ai-featherless-ai-qwerky-72b,,0,,,,,
1094,featherless-ai-featherless-ai-qwerky-qwq-32b,featherless-ai-featherless-ai-qwerky-qwq-32b,,0,,,,,
1095,featherless-ai-qwerky-72b,Qwerky 72B,,0,,,,,
1096,featherless-qwerky-72b,Qwerky 72B,,0,,,,,
1097,firecrawl-search,firecrawl-search,,0,,,,,
1098,fireworks-ai-4-1b-to-16b,fireworks-ai-4-1b-to-16b,,0,,,,,
1099,fireworks-ai-56b-to-176b,fireworks-ai-56b-to-176b,,0,,,,,
1100,fireworks-ai-above-16b,fireworks-ai-above-16b,,0,,,,,
1101,fireworks-ai-accounts-fireworks-models,fireworks-ai-accounts-fireworks-models,,0,,,,,
1102,fireworks-ai-accounts-fireworks-models-chronos-hermes-13b-v2,fireworks-ai-accounts-fireworks-models-chronos-hermes-13b-v2,,0,,,,,
1103,fireworks-ai-accounts-fireworks-models-code-llama-13b,fireworks-ai-accounts-fireworks-models-code-llama-13b,,0,,,,,
1104,fireworks-ai-accounts-fireworks-models-code-llama-13b-instruct,fireworks-ai-accounts-fireworks-models-code-llama-13b-instruct,,0,,,,,
1105,fireworks-ai-accounts-fireworks-models-code-llama-13b-python,fireworks-ai-accounts-fireworks-models-code-llama-13b-python,,0,,,,,
1106,fireworks-ai-accounts-fireworks-models-code-llama-34b,fireworks-ai-accounts-fireworks-models-code-llama-34b,,0,,,,,
1107,fireworks-ai-accounts-fireworks-models-code-llama-34b-instruct,fireworks-ai-accounts-fireworks-models-code-llama-34b-instruct,,0,,,,,
1108,fireworks-ai-accounts-fireworks-models-code-llama-34b-python,fireworks-ai-accounts-fireworks-models-code-llama-34b-python,,0,,,,,
1109,fireworks-ai-accounts-fireworks-models-code-llama-70b,fireworks-ai-accounts-fireworks-models-code-llama-70b,,0,,,,,
1110,fireworks-ai-accounts-fireworks-models-code-llama-70b-instruct,fireworks-ai-accounts-fireworks-models-code-llama-70b-instruct,,0,,,,,
1111,fireworks-ai-accounts-fireworks-models-code-llama-70b-python,fireworks-ai-accounts-fireworks-models-code-llama-70b-python,,0,,,,,
1112,fireworks-ai-accounts-fireworks-models-code-llama-7b,fireworks-ai-accounts-fireworks-models-code-llama-7b,,0,,,,,
1113,fireworks-ai-accounts-fireworks-models-code-llama-7b-instruct,fireworks-ai-accounts-fireworks-models-code-llama-7b-instruct,,0,,,,,
1114,fireworks-ai-accounts-fireworks-models-code-llama-7b-python,fireworks-ai-accounts-fireworks-models-code-llama-7b-python,,0,,,,,
1115,fireworks-ai-accounts-fireworks-models-code-qwen-1p5-7b,fireworks-ai-accounts-fireworks-models-code-qwen-1p5-7b,,0,,,,,
